Region,Country
Eastern Africa,Burundi
Eastern Africa,Comoros
Eastern Africa,Djibouti
Eastern Africa,Eritrea
Eastern Africa,Ethiopia
Eastern Africa,Kenya
Eastern Africa,Madagascar
Eastern Africa,Malawi
Eastern Africa,Mauritius
Eastern Africa,Mayotte
Eastern Africa,Mozambique
Eastern Africa,Reunion
Eastern Africa,Rwanda
Eastern Africa,Seychelles
Eastern Africa,Somalia
Eastern Africa,South Sudan
Eastern Africa,Uganda
Eastern Africa,United Republic of Tanzania
Eastern Africa,Zambia
Eastern Africa,Zimbabwe
Middle Africa,Angola
Middle Africa,Cameroon
Middle Africa,Central African Republic
Middle Africa,Chad
Middle Africa,Congo
Middle Africa,Democratic Republic of the Congo
Middle Africa,Equatorial Guinea
Middle Africa,Gabon
Middle Africa,Sao Tome and Principe
Northern Africa,Algeria
Northern Africa,Egypt
Northern Africa,Libya
Northern Africa,Morocco
Northern Africa,Sudan
Northern Africa,Tunisia
Northern Africa,Western Sahara
Southern Africa,Botswana
Southern Africa,Lesotho
Southern Africa,Namibia
Southern Africa,South Africa
Southern Africa,Swaziland
Western Africa,Benin
Western Africa,Burkina Faso
Western Africa,Cabo Verde
Western Africa,Cote d'Ivoire
Western Africa,Gambia
Western Africa,Ghana
Western Africa,Guinea
Western Africa,Guinea-Bissau
Western Africa,Liberia
Western Africa,Mali
Western Africa,Mauritania
Western Africa,Niger
Western Africa,Nigeria
Western Africa,Saint Helena
Western Africa,Senegal
Western Africa,Sierra Leone
Western Africa,Togo
Caribbean,Anguilla
Caribbean,Antigua and Barbuda
Caribbean,Aruba
Caribbean,Bahamas
Caribbean,Barbados
Caribbean,"Bonaire, Sint Eustatius and Saba"
Caribbean,British Virgin Islands
Caribbean,Cayman Islands
Caribbean,Cuba
Caribbean,Curaçao
Caribbean,Dominica
Caribbean,Dominican Republic
Caribbean,Grenada
Caribbean,Guadeloupe
Caribbean,Haiti
Caribbean,Jamaica
Caribbean,Martinique
Caribbean,Montserrat
Caribbean,Puerto Rico
Caribbean,Saint-Barthélemy
Caribbean,Saint Kitts and Nevis
Caribbean,Saint Lucia
Caribbean,St. Martin (French part)
Caribbean,Saint Vincent and the Grenadines
Caribbean,Sint Maarten (Dutch part)
Caribbean,Trinidad and Tobago
Caribbean,Turks and Caicos Islands
Caribbean,United States Virgin Islands
Central America,Belize
Central America,Costa Rica
Central America,El Salvador
Central America,Guatemala
Central America,Honduras
Central America,Mexico
Central America,Nicaragua
Central America,Panama
South America,Argentina
South America,Bolivia (Plurinational State of)
South America,Brazil
South America,Chile
South America,Colombia
South America,Ecuador
South America,Falkland Islands (Malvinas)
South America,French Guiana
South America,Guyana
South America,Paraguay
South America,Peru
South America,Suriname
South America,Uruguay
South America,Venezuela (Bolivarian Republic of)
Northern America,Bermuda
Northern America,Canada
Northern America,Greenland
Northern America,Saint Pierre and Miquelon
Northern America,United States
Central Asia,Kazakhstan
Central Asia,Kyrgyzstan
Central Asia,Tajikistan
Central Asia,Turkmenistan
Central Asia,Uzbekistan
Eastern Asia,China
Eastern Asia,"China, Hong Kong Special Administrative Region"
Eastern Asia,"China, Macao Special Administrative Region"
Eastern Asia,Democratic People's Republic of Korea
Eastern Asia,Japan
Eastern Asia,Mongolia
Eastern Asia,Republic of Korea
Southern Asia,Afghanistan
Southern Asia,Bangladesh
Southern Asia,Bhutan
Southern Asia,India
Southern Asia,Iran (Islamic Republic of)
Southern Asia,Maldives
Southern Asia,Nepal
Southern Asia,Pakistan
Southern Asia,Sri Lanka
South-Eastern Asia,Brunei Darussalam
South-Eastern Asia,Cambodia
South-Eastern Asia,Indonesia
South-Eastern Asia,Lao People's Democratic Republic
South-Eastern Asia,Malaysia
South-Eastern Asia,Myanmar
South-Eastern Asia,Philippines
South-Eastern Asia,Singapore
South-Eastern Asia,Thailand
South-Eastern Asia,Timor-Leste
South-Eastern Asia,Viet Nam
Western Asia,Armenia
Western Asia,Azerbaijan
Western Asia,Bahrain
Western Asia,Cyprus
Western Asia,Georgia
Western Asia,Iraq
Western Asia,Israel
Western Asia,Jordan
Western Asia,Kuwait
Western Asia,Lebanon
Western Asia,Oman
Western Asia,Qatar
Western Asia,Saudi Arabia
Western Asia,State of Palestine
Western Asia,Syrian Arab Republic
Western Asia,Turkey
Western Asia,United Arab Emirates
Western Asia,Yemen
Eastern Europe,Belarus
Eastern Europe,Bulgaria
Eastern Europe,Czech Republic
Eastern Europe,Hungary
Eastern Europe,Poland
Eastern Europe,Republic of Moldova
Eastern Europe,Romania
Eastern Europe,Russian Federation
Eastern Europe,Slovakia
Eastern Europe,Ukraine
Northern Europe,Åland Islands
Northern Europe,Channel Islands
Northern Europe,Denmark
Northern Europe,Estonia
Northern Europe,Faeroe Islands
Northern Europe,Finland
